doc_id,author,title,year,thesis_type,director,director_source,original_director_field,specialisation,matched_secondary,match_score
HEIA_061922_410206,"Pastor Ortega, César",La reforma agraria de 1969 y sus limites en el valle de Chanchamayo (Perú),1992.0,Master/Other,,,,,False,
HEIA_075885_410206,"Bigirimana Ndayishimiye, Générose",La crise du bois de feu et les femmes en Afrique,1988.0,Master/Other,,,,,False,
HEIA_067462_411209,"Zaccagnini, Carlos",La fiebre del oro en el Sur-Oriente del Peru,1984.0,Master/Other,,,,,False,
HEIA_009707_411209,"Bonsédawindé, Sarambé",Organisation professionnelle de l'artisanat et des petites et moyennes entreprises,1996.0,Master/Other,,,,,False,
HEIA_008842_411209,"Dianor, Ousmane",Les paysans face à la nouvelle politique agricole du Sénégal,1994.0,Master/Other,,,,,False,
HEIA_073379_411209,"Apedo, Joseph Kodzo",Dynamiques sociales dans une économie de plantation,1996.0,Master/Other,,,,,False,
HEIA_056889_411209,"Dominguez Carqueijo, Arnaldo",Angola,1988.0,Master/Other,,,,,False,
HEIA_075886_411209,"Ralalaharimisa, Julie",La politique d'ajustement dans le secteur rizicole,1990.0,Master/Other,,,,,False,
HEIA_079378_410206,"Magallanes, José-Luis",Las políticas agrícolas del estado y estrategias de las organizaciones campesinas,1989.0,Master/Other,,,,,False,
HEIA_077274_410206,"Hu, Kai-Hsin",L'industrie suisse de la machine-outil face à la concurrence,1992.0,Master/Other,,,,,False,
HEIA_056890_410206,"Blanc, Jean-François","Suisse, Hong Kong... le défi horloger",1987.0,Master/Other,,,,,False,
HEIA_041883_410206,"Angeles Cruz, Misael",Tourisme et développement,1990.0,Master/Other,,,,,False,
HEIA_020875--000001_410206,"Adjakly, Edoh",Pratique de la tradition religieuse et reproduction sociale chez les Guen/Mina du sud-est du Togo,1985.0,Master/Other,,,,,False,
HEIA_020875--000004_410206,"Mix, Ulrike",Les jardins de la sécheresse,1988.0,Master/Other,,,,,False,
HEIA_020875--000005_410206,"Valenzuela de Pisano, Ileana",Agriculture de subsistance et technologie appropriée,1991.0,Master/Other,,,,,False,
HEIA_020875--000006_410206,"Burnier, Mary-Josée",Le secret de l'unité de santé,1993.0,Master/Other,,,,,False,
HEIA_020875--000007_410206,"Mazzini, Patricia",Niños y jóvenes en situación de calle,1996.0,Master/Other,,,,,False,
HEIA_067251_410206,"Logossou, Kokou Joseph",De la coopération décentralisée au développement local,2004.0,Master/Other,,,,,False,
HEIA_056878_410206,"Ndonna Mimbiang, Martin José",Du cacaoyer aux cultures vivrières,2001.0,Master/Other,,,,,False,
HEIA_063042_410206,"Dunand, Christophe",Vers un développement rural durable,1991.0,Master/Other,,,,,False,
HEIA_062025_410206,"Araujo, Espedito Rufino de","O trator e o ""burro sem rabo""",1990.0,Master/Other,,,,,False,
HEIA_006272_411209,"Gandolfi, Stefania",Les racines oubliées,1994.0,Master/Other,,,,,False,
