doc_id,year,author,title,jury_1,jury_2,jury_3,jury_4,jury_5
HEI_000541--000005_410301,1963,,Le déclin de la première Internationale,Miklos MOLNÀR DE BUDAPEST,Miklós MOLNÀR DE BUDAPEST,Antony Babel,Jacques Freymond,lUni-
HEI_000541--000006_410301,1963,,The legal aspects of the Hungarian question,Joseph Alexander,Joseph Auëxande,V-AT-LAW,Jacques Freymond,Michel Vl rally
HEI_000542--000001_410301,1963,,"Economic development, payments deficit and payment restriction",VSûûra,Hautes Etudes Internationales,Jacques LHuillier,Michael A. Heilperin,Wilhelm Röpke
HEI_000542--000002_410301,1964,,La réaction du public allemand devant des oeuvres littéraires de caractère politique pendant la péri,Tétude de Tétât,ALBRECHT SCHRÖDER,M. Jac,M. Wilhelm ROPKE,John GOORMAGH TIGH
HEI_000542--000003_410301,1965,,Britische Wirtschafts- und Sozialverbände und europäische Integration,F UND SOZIALVERBÄNDE,H Ai-,Olivier Long,Wilhelm Röpke,Denis de Rougemont
HEI_000542--000004_411209,1963,,Le rôle du facteur américain dans la politique étrangère et militaire de l'Allemagne,Hautes Etudes Internationales,Jacques Freymond,Maurice Baumont,Abteilung - Befehlshaber der Unterseeboote - Documents on British Foreign Policy - Documenti Diplomatici Italiani - Délégation Française,Oberkommando des Heeres - Oberkommando der Marine - Oberkommando der Wehrmacht - Reichsaussenminister - Sicherheitsdienst - Seekriegsleitung - Staatssekretär - Télégramme TMI - Procès des
HEI_000542--000005_411209,1965,,Les organisations professionnelles françaises et le Marché Commun,Jânos SZOKOLÓCZY SYLLABA DE BUDAPEST,Jacques Freymond,M. Olivier Long,John Goormaghtigh,Ct M. JOHN GoORMAGHTIGH
HEI_000542--000006_411209,1965,,Soviet Russia and Asia,Victor Chevalier,œ QÆ,Victor Chevalier 1965,Jacques Freymond,lUni-
HEI_000542--000007_411209,1965,,L'évolution du mouvement syndical en Afrique occidentale,Andrâs NOVEMBER,Andràs NOVEMBER,Etudes Inter,Robert W. COX,Jacques FREYMOND
HEI_000543--000001_411209,1964,,Le Conseil d'assistance économique mutuelle C.A.E.M.,Jacques FREYMOND,Rodolphe NÖTEL,Wilhelm RÖPKE,Norman SCOTT,lEu rope
HEI_000543--000002_411209,1965,,Multilateral commercial diplomacy,IjI. J.,Michael Joseph Ltd,Jacques Frey- MOND,Jacques LHuillier,Michael A. Heilperin
HEI_000543--000003_410206,1964,,Le concept de la dissuasion,Jacques Freymond,Louis J. Halle,Samuel Gonard,t Ji,Lhomme
HEI_000543--000004_410206,1964,,Problems of the trusteeship system,George THULLEN Equateur Sciences Politiques,George THULLEN Equateur,Alan B. OVERSTREET,Robert COX,Jean SIOTIS
HEI_000543--000005_410206,1964,,"Examen analytique comparé des politiques conjoncturelles de la Belgique, des Pays-Bas et de la Suiss",NICOLAS KRUL DE,Jacques Freymond,Jacques UHuillier,M. Wilhelm Röpke,Benjamin Cons
HEI_000543--000006_410206,1964,,Les organisations non gouvernementales et les Nations Unies,HElîH lÊUI SIBIL,Hautes Etudes Internationales,Jacques FREŸMOHD,Michel VIRALLY,Robert COX
HEI_000543--000007_410206,1966,,Contribution socialiste à l'étude de la croissance économique des pays en voie de développement,MIECZYSLAW FALKOWSKI Varsovie,Gerard Curzon,Gilbert Etienne,MM. Rodolphe Nôtel,Norman Scott
HEI_000544--000001_410206,1965,,Intégration économique internationale et différenciation régionale,Jôzsef CSILLAGHY BUDAPEST,RiBirrin I Î I b I É,Jôzsef CSILLAGHY,Jacques F REYMOND,Jacques LHUI ELIE R
HEI_000544--000002_410206,1966,,The genesis of international narcotics control,PETER LOWES CANADA,Jacques Freymond,Robert W. Cox,M. Lincoln Bloomfield,Philippe Cahier
HEI_000544--000003_411209,1965,,The American press and the European army plan,Charles William PATRICK ÉTATS-UNIS I  THE AMERICAN PRESS AND THE EUROPEAN ARMY PLAN A STUDY OF THE REACTION OF THE AMERICAN PRESS,Charles William PATRICK ÉTATS-UNIS,Jacques Freymond,Louis Halle,Paul Friedländer
HEI_000544--000004_411209,1966,,The idea of equality in international politics,Robert KLEIN,MH3T14I xî3TJAr,So- i ciales,Jacques Freymond,Louis J. Halle
HEI_000544--000005_411209,1965,,Le problème de la réforme monétaire après la deuxième guerre mondiale et la solution en Allemagne oc,THOMAS GUGGENHEIM,Jacques Freymond,Jacques LHuillier,M. Wilhelm Röpke,Gérard Curzon
HEI_000544--000006_411209,1965,,Die Bundesrepublik Deutschland und die Entwicklungslaender.,Entwicklungsländer Versuch,Berücksichtigung der Entwicklungshilfe,ULRICH DAMM,Graphischer Betrieb Hans Biehl,Coburg Die Bundesrepublik Deutschland
HEI_000544--000007_411209,1966,,The effectiveness of international supervision,O X O H s-,LONDON OCEANA PUBLICATIONS,ERNEST ALFRED LANDY,Michel ViRALLY,Robert Cox
HEI_000544--000008_411209,1966,,Nigerian law and foreign investment,CM X,Samuel SUCKOW,Samuel SUCKO W,Pierre L ALI HE,M. Lazare KOP ELMAN AS
HEI_000544--000009_411209,1966,,Le national-socialisme dans le roman allemand contemporain (1933-1958),ANDRÉ RESZLER,Jacques Freymond,MM. Miklos Molnar,Saul Friedländer,Messieurs
HEI_000545--000001_411209,1966,,Deutsche Wissenschaft und internationale Zusammenarbeit,CM X O H,Ein Beitrag,Jacques FREYMOND,MM. Jean-Rodolphe de SALIS,Dusan SID- JANSKI
HEI_000545--000002_411209,1966,,Soviet economic controversies,J- Mi,t  M,S -1-,M- - M  frAA,Soviet Economie Controversies 2 3 NOV
HEI_000545--000003_411209,1967,,United States chemical warfare policy,Milt,Jacques FREYMOND,Samuel CONARD,Louis J. HALLE,Louis Halle
HEI_000545--000004_411209,1966,,The 'anciens combattants' and French foreign policy,Elliott Pennell FAGERBERG,Hautes Etudes Internationales,Jacques Freymond,Maurice Baumont,M. Alan B. Overstreet
HEI_002159_AU2AC01233,1966,,The 'anciens combattants' and French foreign policy,French Foreign Policy-,Blooortotloa,Foreign PoXicy,U-î to,JvSsî ïo ÀXf
HEI_000545--000005_411209,1967,,Soviet and Eastern European trade and aid in Africa,Baard Richard,FREDERICK A. PRAEGER,Hautes Etudes Internationales,Gerard Cùizon,Gilbert Etienné
HEI_000545--000006_411209,1968,,Le réalisme khrouchtchévien,f-1 Pl,Végard,Jacques FREYMOND,Jean-René FIECHTER,lUni
HEI_000545--000007_410206,1967,,Les exceptions préliminaires dans la procédure de la cour internationale,Georges ABI-SAAB,Georges AB I-,Hautes Etudes Internationales,Jacques FREYMOND,Michel VIRALLY
HEI_000546--000001_410206,1967,,Staline négociateur,Jacques Freymond,Saul Friedländer,Miklos Molnar,Lénine,Staline
